ar40,ar40err,ar39,ar39err,baseline
156.0795,0.1368122,22.94932,0.0745684,0.0000352
550.8564,0.0949282,0.0024657,0.0214469,0.0000369
155.9391,0.1104689,22.83224,0.0837496,0.000044
273.2814,0.1161265,0.0798548,0.0544688,0.0000457
766.9281,0.0971241,112.3982,0.0478254,0.000051
275.1055,0.0593708,0.0416487,0.0275055,0.0000527
155.9428,0.1077464,22.69066,0.0811571,0.0000563
274.9682,0.057554,0.0017716,0.0264917,0.0000563
550.8655,0.0842153,-0.0465016,0.0238562,0.0000563
547.4667,0.2678032,-0.0269592,0.0615743,0.0000615
826.0277,0.0943464,0.0269427,0.0269463,0.0000615
758.6309,0.305467,111.7173,0.1629631,0.0000633
767.0061,0.077428,112.4893,0.048025,0.0000633
825.8391,0.1107627,-0.0150871,0.0260805,0.0000633
275.3865,0.0549194,0.0258132,0.0281394,0.0000651
547.8238,0.2149935,0.0101549,0.0702194,0.0000668
550.8062,0.0663614,-0.0312801,0.0256864,0.0000686
273.5538,0.2310562,0.0121417,0.0561641,0.0000703
821.3217,0.2750611,-0.1090092,0.098555,0.0000703
759.0403,0.3723924,111.3762,0.1723801,0.0000774
760.0149,0.3351604,111.5507,0.1215223,0.0000774
767.1019,0.1232699,112.3447,0.0386297,0.0000774
820.9762,0.2857152,0.11446,0.103043,0.0000791
820.1677,0.240119,0.0935018,0.1054378,0.0000844
826.2209,0.1365477,0.0047915,0.0284523,0.0000862
546.9289,0.2122063,-0.0190544,0.0764056,0.0000897
1519.266,0.4353284,223.2248,0.2149208,0.0000932
1520.014,0.5062207,222.6738,0.1600598,0.0001002
1535.956,0.1517437,225.2036,0.0494754,0.000102
1521.526,0.4700178,222.7975,0.1567544,0.0001037
1535.741,0.1919395,225.0862,0.0578534,0.0001108
1536.03,0.1940457,225.2033,0.0533991,0.0001178
2303.046,0.2640545,337.5468,0.0703008,0.0001178
2303.228,0.2235905,337.8644,0.0598481,0.0001213
2276.736,0.7539766,333.6261,0.1831198,0.0001231
2280.865,0.8324782,334.6509,0.1578844,0.0001248
2304.245,0.1882139,337.766,0.0561074,0.0001336
2279.634,0.617075,334.1751,0.1865672,0.0001389
3039.829,0.7480162,445.5935,0.2689198,0.0001565
3039.287,0.7849112,445.5741,0.2491719,0.0001864
3036.809,0.5510833,445.2333,0.2941238,0.0002092
3799.34,0.8986371,556.9907,0.2920996,0.0002127
3796.7,0.7292238,556.0427,0.2788107,0.0002286
3797.43,1.032016,557.5937,0.2350811,0.0002321
