value,units,duration,cleanup,beam_diameter
0.8,watts,45.0,30.0,
1.0,watts,45.0,30.0,
1.25,watts,45.0,30.0,
1.4,watts,45.0,30.0,
1.75,watts,45.0,30.0,
2.0,watts,45.0,30.0,
2.25,watts,45.0,30.0,
2.5,watts,45.0,30.0,
2.75,watts,45.0,30.0,
3.0,watts,45.0,30.0,
3.25,watts,45.0,30.0,
3.5,watts,45.0,30.0,
3.75,watts,45.0,30.0,
4.0,watts,45.0,30.0,
4.5,watts,45.0,30.0,
5.0,watts,45.0,30.0,
5.5,watts,45.0,30.0,
6.0,watts,45.0,30.0,
8.0,watts,45.0,30.0,
10.0,watts,45.0,30.0,
20.0,watts,45.0,30.0,
