value,units,duration,cleanup
351.0,temp,300.0,45.0
377.0,temp,300.0,45.0
403.0,temp,300.0,45.0
430.0,temp,300.0,45.0
456.0,temp,300.0,45.0
482.0,temp,300.0,45.0
508.0,temp,300.0,45.0
534.0,temp,300.0,45.0
561.0,temp,300.0,45.0
587.0,temp,300.0,45.0
613.0,temp,300.0,45.0
639.0,temp,300.0,45.0
665.0,temp,300.0,45.0
692.0,temp,300.0,45.0
718.0,temp,300.0,45.0
665.0,temp,1200.0,45.0
613.0,temp,3600.0,45.0
744.0,temp,300.0,45.0
770.0,temp,300.0,45.0
796.0,temp,300.0,45.0
823.0,temp,300.0,45.0
849.0,temp,300.0,45.0
875.0,temp,300.0,45.0
901.0,temp,300.0,45.0
927.0,temp,300.0,45.0
875.0,temp,1200.0,45.0
770.0,temp,3600.0,45.0
954.0,temp,300.0,45.0
980.0,temp,300.0,45.0
1006.0,temp,300.0,45.0
1032.0,temp,300.0,45.0
1058.0,temp,300.0,45.0
1085.0,temp,300.0,45.0
1032.0,temp,1200.0,45.0
980.0,temp,3600.0,45.0
1111.0,temp,300.0,45.0
1137.0,temp,300.0,45.0
1163.0,temp,300.0,45.0
1190.0,temp,300.0,45.0
1216.0,temp,300.0,45.0
1242.0,temp,180.0,45.0
1294.0,temp,120.0,45.0
1347.0,temp,60.0,45.0
1452.0,temp,60.0,45.0
