value,units,duration,cleanup
400.0,temp,240.0,30.0
450.0,temp,240.0,30.0
500.0,temp,240.0,30.0
530.0,temp,240.0,30.0
560.0,temp,240.0,30.0
590.0,temp,240.0,30.0
620.0,temp,240.0,30.0
650.0,temp,240.0,30.0
680.0,temp,240.0,30.0
710.0,temp,240.0,30.0
740.0,temp,240.0,30.0
770.0,temp,240.0,30.0
800.0,temp,240.0,30.0
830.0,temp,240.0,30.0
860.0,temp,240.0,30.0
880.0,temp,240.0,30.0
910.0,temp,240.0,30.0
940.0,temp,240.0,30.0
970.0,temp,240.0,30.0
1000.0,temp,240.0,30.0
1030.0,temp,240.0,30.0
1060.0,temp,240.0,30.0
1090.0,temp,240.0,30.0
1100.0,temp,240.0,30.0
1100.0,temp,480.0,30.0
1100.0,temp,900.0,30.0
1100.0,temp,1800.0,30.0
1100.0,temp,3600.0,30.0
1100.0,temp,7200.0,30.0
1140.0,temp,120.0,30.0
1180.0,temp,120.0,30.0
1220.0,temp,120.0,30.0
1260.0,temp,120.0,30.0
1300.0,temp,120.0,30.0
1350.0,temp,120.0,30.0
1450.0,temp,120.0,30.0
