value,units,duration,cleanup
343.0,temp,240.0,30.0
369.0,temp,240.0,30.0
394.0,temp,240.0,30.0
420.0,temp,240.0,30.0
446.0,temp,240.0,30.0
472.0,temp,240.0,30.0
497.0,temp,240.0,30.0
523.0,temp,240.0,30.0
549.0,temp,240.0,30.0
575.0,temp,240.0,30.0
600.0,temp,240.0,30.0
626.0,temp,240.0,30.0
652.0,temp,240.0,30.0
678.0,temp,240.0,30.0
703.0,temp,240.0,30.0
729.0,temp,240.0,30.0
755.0,temp,240.0,30.0
781.0,temp,240.0,30.0
806.0,temp,240.0,30.0
755.0,temp,900.0,30.0
703.0,temp,2400.0,30.0
832.0,temp,240.0,30.0
858.0,temp,240.0,30.0
883.0,temp,240.0,30.0
910.0,temp,240.0,30.0
935.0,temp,240.0,30.0
961.0,temp,240.0,30.0
987.0,temp,240.0,30.0
1013.0,temp,240.0,30.0
1038.0,temp,240.0,30.0
1064.0,temp,240.0,30.0
1090.0,temp,240.0,30.0
1116.0,temp,240.0,30.0
1064.0,temp,900.0,30.0
1013.0,temp,2400.0,30.0
1141.0,temp,240.0,30.0
1167.0,temp,240.0,30.0
1193.0,temp,240.0,30.0
1219.0,temp,120.0,30.0
